NULL;NULL;NULL;1477,24;2056,513;13,111;665,653;0;0;579,273
Pedagogia;C;F;1482,09;5045,485;12,99;1266,857;2670,04;46,323;847,032
NULL;NULL;NULL;516,27;1951,262;1951,262;1951,262;1089,12;16,905;328,967
NULL;NULL;NULL;293,24;1703,995;12,99;1664,783;1129,919;10,488;270,349
NULL;NULL;NULL;2636,49;3148,355;15,89;635,093;836,851;60,364;381,7
Pedagogia;S;F;1578;3210,831;1063,259;1077,219;1109,873;41,195;481,763
NULL;NULL;NULL;1411,71;5245,49;10,738;2691,712;2810,295;29,217;994,268
Engenharia Civil;S;M;516,66;516,66;86,11;86,11;0;0;0
NULL;NULL;NULL;730,5;1131,285;10,289;532,884;0;0;400,785
Sistemas de Informação;S;M;2605,2;10335,873;2050,01;2084,687;5196,525;85,305;1660,034
Direito;C;F;453;453;75,5;75,5;0;0;0
NULL;NULL;NULL;49,45;53,129;25,979;27,15;0;0;3,679
Engenharia Civil;S;F;6366,8;16157,615;10,738;2807,77;6790,131;139,327;2861,357
Engenharia Civil;S;F;179,7;179,7;35,94;35,94;0;0;0
NULL;NULL;NULL;2341,4;10268,002;10268,002;10268,002;6086,215;81,996;1758,391
Direito;S;F;274,08;274,08;91,36;91,36;0;0;0
NULL;NULL;NULL;1032,07;2630,195;69,2;1403,371;1174,613;11,303;412,209
Psicologia ;S;F;4325;13079,343;2590,084;2641,399;6590,027;127,242;2037,075
NULL;S;F;24,5;27,071;27,071;27,071;1,217;0,507;0,848
NULL;NULL;NULL;1548,3;2713,647;12,99;2632,672;635,201;21,187;508,958
Engenharia Civil;C;M;12603,01;14183,208;13,108;2903,349;6480,596;143,739;2054,453
NULL;NULL;NULL;3304,93;10173,113;10,635;1243,775;4728,675;60,948;2078,56
Psicopedagogia Institucional e Clínica;S;F;300;1100,793;1100,793;1100,793;599,81;9,823;191,16
Engenharia Civil;NULL;F;172,02;172,02;57,34;57,34;0;0;0
Ciências Contábeis;S;F;2620;5708,765;1411,406;1447,361;2130,422;70,164;888,18
NULL;NULL;NULL;1471,37;5575,923;514,441;1139,619;2992,135;34,485;1077,933
NULL;NULL;NULL;11660,29;41895,019;10,336;38846,901;22075,135;328,858;7830,736
NULL;NULL;NULL;664,2;1313,612;21,831;741,642;357,353;0;292,059
Engenharia Civil;S;M;1915,5;7132,305;1414,656;1436,806;3492,152;60,361;1102,562
Engenharia Civil;S;F;484,82;484,82;86,11;104,2;0;0;0
Direito;S;F;274,08;274,08;91,36;91,36;0;0;0
Direito;S;M;388,06;1054,147;1054,147;1054,147;484,715;10,861;154,991
NULL;NULL;NULL;1203,87;2440,969;10,738;1475,171;710,665;0;526,434
Direito;S;M;3809,65;13067,914;2590,136;2634,149;6945,38;120,05;2192,835
Engenharia Civil;NULL;M;6828,25;9830,419;1934,394;1997,982;1855,009;156,381;990,779
Engenharia Civil;C;M;312,6;312,6;104,2;104,2;0;0;0
Administração;S;M;10003,06;18639,637;712,281;2083,466;5968,197;205,633;2574,967
Direito;C;M;204,73;204,73;37,75;45,74;0;0;0
